,grupo_id,Initial_Liters,Final_Liters,Initial_mA,Final_mA,Consumed_Liters,label
3834,3834,149.225486,161.3099924,4.650879,4.666138,2.8813522,Stable
3835,3835,146.1063899,141.4565888,4.61731,4.595947,-1.4924966,Stable
3836,3836,123.6026349,110.1259202,4.492188,4.415894,-14.4328366,Toilet flushing
3837,3837,121.5498485,122.1042838,4.458618,4.473877,2.4916946,Stable
3838,3838,127.9775428,129.9693262,4.525757,4.528809,-1.1748172,Stable
3839,3839,132.517755,136.8612267,4.534912,4.556274,1.7956193,Stable
3840,3840,141.0068152,141.0805818,4.568481,4.577637,-0.462442,Stable
3841,3841,139.5324332,139.0229463,4.589844,4.56543,-2.1489268,Stable
3842,3842,132.3518142,130.9021704,4.537964,4.534912,-5.1015805,Stable
3843,3843,136.6286928,124.0329381,4.574585,4.458618,-19.1326359,Toilet flushing
3844,3844,112.1875758,53.8568681,4.434204,4.095459,-60.7462771,Taking a bath
3845,3845,52.128866,186.0828639,4.0802,4.855347,131.6630235,Tank Refilling
3846,3846,259.816461,532.5481997,5.267334,6.851196,277.6428334,Tank Refilling
3847,3847,621.4838578,713.5263739,7.366943,7.925416,96.8477368,Tank Refilling
3848,3848,728.0699089,729.8392971,7.995605,7.998657,4.6494419,Stable
3849,3849,737.7942058,741.5903733,8.023071,8.03833,-1.0465694,Stable
3850,3850,725.7350357,717.276446,8.074961,8.020991,-9.6843825,Toilet flushing
3851,3851,720.7775049,611.8640475,8.007748,7.421484,-106.9484593,Washing clothes
3852,3852,618.6645923,595.7951658,7.450192,7.367699,-15.4680325,Toilet flushing
3853,3853,606.4221708,591.195708,7.386545,7.323233,-17.1697254,Toilet flushing
3854,3854,594.2252451,647.569637,7.337825,7.61952,54.0864279,Tank Refilling
3855,3855,645.9389939,638.6164449,7.635986,7.581971,-3.8423672,Toilet flushing
3856,3856,651.8179006,656.4261031,7.633239,7.665895,10.2855377,Stable
3857,3857,654.6414478,628.4055314,7.664063,7.52396,-28.45797,Taking a bath
3858,3858,621.9973232,622.9233479,7.486451,7.501648,-0.239813,Stable
3859,3859,623.4677035,603.2106259,7.468801,7.393099,-14.0427229,Toilet flushing
3860,3860,603.3226264,571.8730456,7.363561,7.189847,-31.1202461,Taking a bath
3861,3861,562.5469172,550.7847053,7.178638,7.092868,-11.3361306,Toilet flushing
3862,3862,548.7739841,531.2001442,7.079646,6.995709,-19.3681697,Toilet flushing
3863,3863,538.8051451,539.2310995,7.03453,7.01413,2.0395144,Stable
3864,3864,533.2043079,535.8457711,6.995009,7.038964,9.1864603,Stable
3865,3865,547.1276657,536.1925252,7.071382,7.036297,-6.2801078,Toilet flushing
3866,3866,546.985729,524.2214911,7.064327,6.960453,-21.6426612,Toilet flushing
3867,3867,534.8086278,480.7091565,6.996817,6.679832,-54.3304114,Taking a bath
3868,3868,484.567517,470.8278511,6.72629,6.636428,-18.7853407,Toilet flushing
3869,3869,468.4441023,471.9407542,6.672385,6.678053,-2.087109,Stable
3870,3870,471.8712651,593.211568,6.666174,7.319994,115.8454015,Tank Refilling
3871,3871,593.0789105,601.9328294,7.313311,7.352023,3.2690747,Stable
3872,3872,601.2472143,586.3458226,7.37858,7.292031,-14.9730563,Toilet flushing
3873,3873,593.2855193,597.4696299,7.305842,7.356178,5.3266673,Stable
3874,3874,586.165572,597.4937665,7.304793,7.339686,3.9233732,Stable
3875,3875,593.4845472,596.9031595,7.32969,7.372207,4.3010508,Stable
3876,3876,595.1905958,583.2810735,7.342824,7.260963,-14.5831658,Toilet flushing
3877,3877,585.1442401,617.9569115,7.259295,7.474697,44.7403624,Tank Refilling
3878,3878,615.2020124,599.6727075,7.442067,7.345654,-15.940415,Toilet flushing
3879,3879,594.9863498,580.2070888,7.356296,7.26385,-22.1960462,Toilet flushing
3880,3880,575.0675277,583.283693,7.240812,7.252757,2.699658,Stable
3881,3881,570.9934289,570.3353263,7.224437,7.174655,-13.38477,Toilet flushing
3882,3882,568.2069698,564.1613674,7.204469,7.173527,-1.296359,Toilet flushing
3883,3883,568.3740214,653.5987436,7.171618,7.669068,88.7001687,Tank Refilling
3884,3884,659.4035326,658.2362777,7.692091,7.675527,-4.0838232,Stable
3885,3885,651.910122,628.4944576,7.64706,7.509954,-26.8290359,Taking a bath
3886,3886,629.5947229,627.5555135,7.515852,7.539925,1.0791768,Stable
3887,3887,628.9290003,618.7596162,7.517262,7.471141,-6.7478114,Toilet flushing
3888,3888,618.5932075,615.3491332,7.44098,7.432113,-6.3529771,Stable
3889,3889,621.1910092,618.9007922,7.472716,7.441433,-1.0453995,Toilet flushing
3890,3890,616.9499693,604.7695489,7.446775,7.394813,-15.7182249,Toilet flushing
3891,3891,604.0384527,589.7711484,7.391968,7.293872,-22.1449177,Toilet flushing
3892,3892,581.7633457,588.1238154,7.264121,7.287456,9.6989869,Stable
3893,3893,591.0780915,527.6953153,7.300227,6.978713,-59.4196321,Taking a bath
3894,3894,523.1319759,526.8310329,6.953803,6.948788,-4.9915796,Stable
